Purpose,Channel,Dimmer,Address,Position,Unit#,Instrument Type,Load,Accessory,Color,Gobo,Circuit Name,Circuit#,Focus Status,Lightwright ID,Universe,DMX#
PIPE END TEMP,298,325,,#8 ELECTRIC,1,Source4-36°,575,,L202,G370,,,Not,86B2AA:26A4:4:1:Vecto,,
PIPE END BLUE,288,326,,#8 ELECTRIC,2,Source4-36°,575,,R3220+R119,,,,Not,41134:268D:4:1:Vecto,,
PIPE END TEMP,298,327,,#8 ELECTRIC,3,Source4-26°,575,,L202,G370,,,Not,503650:2676:4:1:Vecto,,
PIPE END BLUE,288,328,,#8 ELECTRIC,4,Source4-26°,575,,R3220+R119,,,,Not,41F1B7:265F:4:1:Vecto,,
TEMP BACKS,98,329,,#8 ELECTRIC,5,Source4-26°,575,,N/C,G579-A,,,Not,528C82:354:3:35:Vecto,,
SPC - OVERHEAD,409,330,,#8 ELECTRIC,6,Source4-26°,575,,R119,,,,Not,72DC48:3C7:3:35:Vecto,,
TEMP BACKS,97,342,,#8 ELECTRIC,7,Source4-26°,575,,N/C,G579-A,,,Not,80E123:36B:3:35:Vecto,,
MOV - iCUE (LAMP),504,184,,#8 ELECTRIC,8,Source4-19°,750,,R132,,,,Not,1159B9:2CA:3:35:Vecto,,
MOV - iCUE (MIRROR),504,1410,,#8 ELECTRIC,8.1,I-Cue Intelligent Mirror,,,,,,,Not,7F2F08:33D:3:35:Vecto,,
MOV - iCUE (IRIS),504,1414,,#8 ELECTRIC,8.2,DMX Iris for S4,120,,,,,,Not,AD009:2F8:3:35:Vecto,,
TEMP BACKS,96,340,,#8 ELECTRIC,9,Source4-26°,575,,N/C,G579-A,,,Not,50A095:382:3:35:Vecto,,
SPC - OVERHEAD,408,339,,#8 ELECTRIC,10,Source4-26°,575,,R119,,,,Not,780054:3DE:3:36:Vecto,,
MOV - iCUE (LAMP),503,185,,#8 ELECTRIC,11,Source4-19°,750,,R132,,,,Not,7F07FC:2E1:3:35:Vecto,,
MOV - iCUE (MIRROR),503,1415,,#8 ELECTRIC,11.1,I-Cue Intelligent Mirror,,,,,,,Not,7C2E1D:326:3:35:Vecto,,
MOV - iCUE (IRIS),503,1419,,#8 ELECTRIC,11.2,DMX Iris for S4,120,,,,,,Not,47CA4D:30F:3:35:Vecto,,
PIPE END BLUE,284,334,,#8 ELECTRIC,12,Source4-26°,575,,R3220+R119,,,,Not,93FDCB:26BB:4:1:Vecto,,
TEMP BACKS,95,337,,#8 ELECTRIC,12,Source4-26°,575,,N/C,G579-A,,,Not,704322:399:3:35:Vecto,,
PIPE END TEMP,294,333,,#8 ELECTRIC,13,Source4-26°,575,,L202,G370,,,Not,8CEAB2:26D2:4:1:Vecto,,
SPC - OVERHEAD,407,336,,#8 ELECTRIC,13,Source4-26°,575,,R119,,,,Not,47899E:3F5:3:36:Vecto,,
TEMP BACKS,94,335,,#8 ELECTRIC,14,Source4-26°,575,,N/C,G579-A,,,Not,246D09:3B0:3:35:Vecto,,
PIPE END BLUE,284,332,,#8 ELECTRIC,14,Source4-36°,575,,R3220+R119,,,,Not,775EEB:26E9:4:1:Vecto,,
PIPE END TEMP,294,331,,#8 ELECTRIC,15,Source4-36°,575,,L202,G370,,,Not,7964A7:2700:4:1:Vecto,,
WORKS,911,522,,#7 ELECTRIC,1,Q-Lite,500,,N/C,,,,Not,D0AE8:1D1E:3:3A:Vecto,,
BACK - AMBER,32,303,,#7 ELECTRIC,2,Source4 PAR WFL,750,,L021,,,,Not,BAED5:23DB:4:0:Vecto,,
BACK - BLUE,12,309,,#7 ELECTRIC,3,Source4 PAR WFL,750,,R2006,,,,Not,72E9D2:2409:4:0:Vecto,,
BACK - RED,52,304,,#7 ELECTRIC,4,Source4 PAR WFL,750,,LHT026,,,,Not,6152D7:23C4:4:0:Vecto,,
BACK - LAV,72,310,,#7 ELECTRIC,5,Source4 PAR WFL,750,,R58,,,,Not,1D5274:23F2:4:0:Vecto,,
BACK - AMBER,31,305,,#7 ELECTRIC,6,Source4 PAR WFL,750,,L021,,,,Not,60C560:237F:4:0:Vecto,,
BACK - BLUE,11,311,,#7 ELECTRIC,7,Source4 PAR WFL,750,,R2006,,,,Not,3C994A:23AD:4:0:Vecto,,
BACK - RED,51,306,,#7 ELECTRIC,8,Source4 PAR WFL,750,,LHT026,,,,Not,55562C:2368:4:0:Vecto,,
